LICENSE PLATE,VIN,MAKE,MODEL,COVERAGE VALID FROM,COVERAGE VALID TO,COUNTRY
,LGXCH6CDXR2015021,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXR2013804,BYD,SEAL,10/5/2024,9/5/2028,NL
,LGXCH6CDXR2013768,BYD,SEAL,28/03/2024,27/03/2028,BE
,LGXCH6CDXR2013754,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXR2013740,BYD,SEAL,17/04/2024,16/04/2028,BE
,LGXCH6CDXR2013737,BYD,SEAL,19/06/2024,18/06/2028,DK
,LGXCH6CDXR2008439,BYD,SEAL,28/03/2024,27/03/2028,IE
,LGXCH6CDXR2008392,BYD,SEAL,16/04/2024,15/04/2028,IE
,LGXCH6CDXR2008229,BYD,SEAL,25/03/2024,24/03/2028,IE
,LGXCH6CDXR2008201,BYD,SEAL,11/3/2024,10/3/2028,UK
,LGXCH6CDXR2008196,BYD,SEAL,27/03/2024,26/03/2028,UK
,LGXCH6CDXP2305305,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXP2297660,BYD,SEAL,9/4/2024,8/4/2028,BE
,LGXCH6CDXP2297657,BYD,SEAL,27/02/2024,26/02/2028,AT
,LGXCH6CDXP2293172,BYD,SEAL,26/03/2024,25/03/2028,FR
,LGXCH6CDXP2291440,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXP2288117,BYD,SEAL,21/02/2024,20/02/2028,IT
,LGXCH6CDXP2288103,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXP2284293,BYD,SEAL,21/03/2024,20/03/2028,UK
,LGXCH6CDXP2275335,BYD,SEAL,16/01/2024,15/01/2028,IE
,LGXCH6CDXP2275321,BYD,SEAL,24/01/2024,23/01/2028,IE
,LGXCH6CDXP2275142,BYD,SEAL,28/02/2024,27/02/2028,IE
,LGXCH6CDXP2275139,BYD,SEAL,28/02/2024,27/02/2028,IE
,LGXCH6CDXP2275108,BYD,SEAL,28/03/2024,27/03/2028,IE
,LGXCH6CDXP2275092,BYD,SEAL,31/01/2024,30/01/2028,IE
,LGXCH6CDXP2275089,BYD,SEAL,14/03/2024,13/03/2028,IE
,LGXCH6CDXP2275044,BYD,SEAL,30/01/2024,29/01/2028,IE
,LGXCH6CDXP2275027,BYD,SEAL,3/4/2024,2/4/2028,IE
,LGXCH6CDXP2271382,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CDXP2271365,BYD,SEAL,16/02/2024,15/02/2028,BE
,LGXCH6CDXP2271334,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CDXP2271303,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CDXP2271236,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXP2268336,BYD,SEAL,14/02/2024,13/02/2028,FR
,LGXCH6CDXP2264786,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXP2263847,BYD,SEAL,21/02/2024,20/02/2028,FR
,LGXCH6CDXP2262942,BYD,SEAL,29/02/2024,28/02/2028,BE
,LGXCH6CDXP2262925,BYD,SEAL,19/02/2024,18/02/2028,FR
,LGXCH6CDXP2262682,BYD,SEAL,13/02/2024,12/2/2028,FR
,LGXCH6CDXP2252329,BYD,SEAL,22/04/2024,21/04/2028,ES
,LGXCH6CDXP2252184,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXP2249446,BYD,SEAL,23/04/2024,22/04/2028,DK
,LGXCH6CDXP2246207,BYD,SEAL,26/02/2024,25/02/2028,FI
,LGXCH6CDXP2244148,BYD,SEAL,16/02/2024,15/02/2028,FR
,LGXCH6CDXP2243081,BYD,SEAL,17/01/2024,16/01/2028,PT
,LGXCH6CDXP2224305,BYD,SEAL,28/12/2023,27/12/2027,FR
,LGXCH6CDXP2223705,BYD,SEAL,19/12/2023,18/12/2027,FR
,LGXCH6CDXP2223686,BYD,SEAL,19/12/2023,18/12/2027,FR
,LGXCH6CDXP2223669,BYD,SEAL,22/12/2023,21/12/2027,FR
,LGXCH6CDXP2222621,BYD,SEAL,2/1/2024,1/1/2028,ES
,LGXCH6CDXP2222604,BYD,SEAL,27/12/2023,26/12/2027,FR
,LGXCH6CDXP2222585,BYD,SEAL,16/01/2024,15/01/2028,ES
,LGXCH6CDXP2220626,BYD,SEAL,22/12/2023,21/12/2027,DE
,LGXCH6CDXP2208685,BYD,SEAL,22/12/2023,21/12/2027,FR
,LGXCH6CDXP2204233,BYD,SEAL,19/03/2024,18/03/2028,IE
,LGXCH6CDXP2204216,BYD,SEAL,2/1/2024,1/1/2028,IE
,LGXCH6CDXP2204197,BYD,SEAL,18/01/2024,17/01/2028,IE
,LGXCH6CDXP2202451,BYD,SEAL,18/01/2024,17/01/2028,IE
,LGXCH6CDXP2202448,BYD,SEAL,16/01/2024,15/01/2028,IE
,LGXCH6CDXP2202417,BYD,SEAL,11/1/2024,10/1/2028,IE
,LGXCH6CDXP2202403,BYD,SEAL,9/1/2024,8/1/2028,IE
,LGXCH6CDXP2199633,BYD,ATTO 3,23/02/2024,22/02/2028,UK
,LGXCH6CDXP2197767,BYD,SEAL,2/4/2024,1/4/2028,UK
,LGXCH6CDXP2197736,BYD,SEAL,1/12/2023,30/11/2027,UK
,LGXCH6CDXP2195808,BYD,SEAL,17/01/2024,16/01/2028,IE
,LGXCH6CDXP2195792,BYD,SEAL,29/01/2024,28/01/2028,IE
,LGXCH6CDXP2136869,BYD,SEAL,6/12/2023,5/12/2027,NL
,LGXCH6CD9R2013762,BYD,SEAL,12/4/2024,11/4/2028,BE
,LGXCH6CD9R2008450,BYD,SEAL,11/4/2024,10/4/2028,IE
,LGXCH6CD9P2300242,BYD,SEAL,15/03/2024,14/03/2028,BE
,LGXCH6CD9P2291445,BYD,SEAL,15/03/2024,14/03/2028,AT
